Time Step,Predicted Throughput
0,37.955629420569764
1,34.41803167243917
2,14.093397012079354
3,94.40066976765051
4,59.19163040375136
5,4.050868561522202
6,4.498014982633657
7,76.75890800008767
8,5.736284038548211
9,46.18863376380291
10,6.646732929289101
11,62.26071160312159
12,3.4658669027249904
13,42.022546707509214
14,85.32041470884597
15,48.34347408150018
16,41.401258642274016
17,96.90532828428344
18,13.672497290913322
19,85.42863621217535
20,40.94859929571935
21,73.99333364150667
22,59.45274381471543
23,24.415336371983834
24,47.078889661311216
25,70.65484516754762
26,49.692499671007674
27,6.3428202767159885
28,60.153789299717396
29,8.710187875863607
30,14.251003152351306
31,11.999605885824192
32,38.61382885251377
33,50.356372915950054
34,23.948695919120784
35,87.63184876970016
36,46.70637845647385
37,7.669886819587325
38,56.30109180207553
39,37.15266075891739
40,42.695535723973215
41,45.49193530605378
42,14.696692156671388
43,33.22813752161036
44,0.4143809131612941
45,3.5630495488143112
46,15.513804065267596
47,41.00944628319508
48,93.60390776581885
49,47.72772921346657
50,35.783222516504026
51,23.5878691178983
52,33.53505641449703
53,72.06823273009347
54,99.3170902803476
55,82.6711529417519
56,56.445746800375865
57,24.953127314168498
58,28.537754214202
59,14.844795573368705
60,97.62970908248661
61,29.597009258723837
62,50.77427582773057
63,87.49616708886279
64,52.02588211550362
65,6.463189072191411
66,6.7905900402278725
67,59.97340091674808
68,65.22609870902448
69,55.98539644807872
70,80.51627142084382
71,15.130669064207744
72,40.601186120059836
73,35.64441744351475
74,75.03124727885918
75,7.033678509135199
76,32.742905253138055
77,63.15035626680783
78,51.44353645393438
79,76.2642897354968
80,97.3643357269503
81,52.59268865096143
82,56.19900921011977
83,79.87498132012976
84,93.65037789651731
85,19.20772344983195
86,47.47656553215021
87,5.541547180613926
88,67.78254886123445
89,55.098612052067814
90,39.48614287565328
91,93.5462242206721
92,28.707207808336662
93,93.57712774001244
94,79.2485985171959
95,89.3257834198106
96,39.21755563547193
97,42.13843672845795
98,12.550499432487516
99,61.9696123183769
100,19.14028246110163
101,98.21125883016542
102,66.96834390082473
103,11.623411757333034
104,88.03866295866365
105,65.56160867896175
106,76.2210185527509
107,79.89356162774556
108,81.23896435409618
109,91.58555324899515
110,84.67442443932796
111,62.98273034898935
112,65.25839880181411
113,24.897060700015963
114,37.73053487590565
115,88.61411970724814
116,72.02281477571779
117,92.70346984086879
118,66.05094459788035
119,34.9413151642136
120,16.71470891922082
121,19.5931605270511
122,75.65079486573227
123,92.08697886709909
124,72.57590294138787
125,35.218404603791996
126,56.02838307460254
127,66.30385139716174
128,31.29719286561845
129,36.49390569493557
130,40.31479490107804
131,21.475577944736717
132,77.90429292027754
133,13.571536462407895
134,5.834763110436869
135,40.06917746751964
136,75.45050811840864
137,12.854115567093164
138,47.59827503391678
139,84.36906419335399
140,4.312974133574887
141,61.49046288783135
142,9.387888057237593
143,59.433561571007345
144,59.952219500293374
145,28.27493125487532
146,29.728632081842655
147,90.03833869242239
148,69.15357244096631
149,48.31483901159513
150,69.85363507994505
151,35.59465676905076
152,6.334809969086907
153,80.61704576959353
154,90.65576158615073
155,84.13206730109519
156,44.128278902171196
157,52.965923905216954
158,8.128689485680473
159,47.34328072659502
160,46.12665590986917
161,55.151780352059326
162,65.74933613641696
163,19.686562653965574
164,74.83157078343744
165,52.03193767102242
166,13.940152233224623
167,9.648606860504206
168,63.60195983494015
169,69.21565233700667
170,43.509503103920636
171,67.85138620814035
172,96.95756113966154
173,5.650515641055954
174,38.93820814793647
175,84.21905522386503
176,15.845736547033912
177,8.631559042178473
178,64.61089136785944
179,14.396298306310324
180,54.20928534439937
181,92.21028547525442
182,62.6902618622223
183,24.990331878259084
184,71.6320028948185
185,62.01955839410956
186,67.46872068510085
187,59.82108243084655
188,50.642686338462184
189,54.385126032158205
190,22.368392585271753
191,22.622196504350303
192,81.13430705975874
193,3.334433300491102
194,24.632498676257832
